"STATIONID","CRUISE","MATCHUP","HAULJOIN","NET_MEASURED","WIRE_LENGTH","START_TIME","PERFORMANCE","VESSEL","HAUL","REGION","DURATION","DISTANCE_FISHED","NET_WIDTH","NET_HEIGHT","START_LATITUDE","END_LATITUDE","START_LONGITUDE","END_LONGITUDE","GEAR_DEPTH","BOTTOM_DEPTH","GEAR","ACCESSORIES","SURFACE_TEMPERATURE","GEAR_TEMPERATURE","HAUL_TYPE","AREA_SWEPT_KM2","TREATMENT"
"B-02",202101,1,-20995,"Y",411,2021-08-20 13:53:25,0,94,230,"BS",0.524,2.86,18.676,2.21,55.33004,55.33039,-166.97715,-166.93216,137,139,44,15,11.4,4.4,20,0.05341336,"30"
"B-02",202101,1,-20991,"Y",411,2021-08-20 13:55:30,0,162,210,"BS",0.271,1.493,18.05,1.76,55.3397,55.34119,-166.97488,-166.95154,137,139,44,15,11.4,4.3,20,0.02694865,"15"
"B-03",202101,2,-20996,"N",411,2021-08-20 16:48:12,0,94,231,"BS",0.279,1.493,18.748,2.153,55.3304,55.33157,-166.36215,-166.33876,131,133,44,15,9.9,4.8,20,0.027990764,"15"
"B-03",202101,2,-20992,"Y",411,2021-08-20 16:49:16,0,162,211,"BS",0.54,2.965,18.11,2.071,55.33815,55.33944,-166.36342,-166.31684,131,133,44,15,10.2,4.8,20,0.05369615,"30"
"B-06",202101,3,-21003,"Y",320,2021-08-22 09:12:52,0,162,218,"BS",0.265,1.449,17.003,2.209,55.36314,55.35083,-164.52979,-164.53731,99,101,44,15,9.7,5.6,20,0.024637347,"15"
"B-06",202101,3,-21004,"Y",320,2021-08-22 10:48:09,0,162,219,"BS",0.522,2.887,16.889,2.128,55.36697,55.34263,-164.53712,-164.55302,99,101,44,15,10.3,5.6,20,0.048758543,"30"
"B-07",202101,4,-21001,"Y",320,2021-08-21 16:57:12,0,162,216,"BS",0.533,2.873,15.89,2.253,55.38048,55.35519,-163.97888,-163.98824,80,82,44,15,10,7,20,0.04565197,"30"
"B-07",202101,4,-21002,"Y",274,2021-08-21 18:52:58,0,162,217,"BS",0.262,1.415,15.529,2.373,55.37366,55.36108,-163.97328,-163.97668,78,80,44,15,10.7,7.2,20,0.021973535,"15"
"C-06",202101,5,-20997,"Y",320,2021-08-21 08:14:42,0,162,212,"BS",0.276,1.467,17.283,2.28,55.66405,55.66491,-164.61636,-164.59315,95,97,44,15,10.9,5,20,0.025354161,"15"
"C-06",202101,5,-20998,"Y",320,2021-08-21 09:53:20,0,162,213,"BS",0.521,2.801,17.157,2.191,55.65911,55.65973,-164.6266,-164.5822,94,96,44,15,11,5.2,20,0.048056757,"30"
"C-07",202101,6,-20999,"Y",320,2021-08-21 12:43:49,0,162,214,"BS",0.525,2.815,16.549,2.19,55.71133,55.68952,-164.04093,-164.01819,91,93,44,15,10.9,6.1,20,0.046585435,"30"
"C-07",202101,6,-21000,"Y",320,2021-08-21 14:27:52,0,162,215,"BS",0.268,1.451,16.592,2.147,55.7122,55.70187,-164.03083,-164.01673,91,93,44,15,11.2,6.1,20,0.024074992,"15"
"E-05",202101,7,-20838,"Y",274,2021-08-19 17:09:53,0,94,227,"BS",0.516,2.647,17.147,2.326,56.34333,56.34621,-165.16591,-165.20831,84,86,44,15,11.8,3.3,20,0.045388109,"30"
"E-05",202101,7,-20842,"Y",274,2021-08-19 17:12:18,0,162,207,"BS",0.264,1.404,16.663,2.099,56.33695,56.33787,-165.17799,-165.20059,85,87,44,15,11.8,3.3,20,0.023394852,"15"
"E-06",202101,8,-20837,"N",274,2021-08-19 14:06:43,0,94,226,"BS",0.263,1.35,18.032,2.413,56.35448,56.34232,-164.59262,-164.59206,84,86,44,15,11.8,3.5,20,0.0243432,"15"
"E-06",202101,8,-20841,"Y",274,2021-08-19 14:07:00,0,162,206,"BS",0.514,2.762,16.463,2.343,56.34493,56.32013,-164.58131,-164.57863,84,86,44,15,11.9,3.5,20,0.045470806,"30"
"F-05",202101,9,-20835,"Y",274,2021-08-19 08:12:14,0,94,224,"BS",0.521,2.768,19.448,2.446,56.66028,56.65919,-165.23773,-165.19273,74,76,44,15,11.7,3.3,20,0.053832064,"30"
"F-05",202101,9,-20839,"Y",274,2021-08-19 08:12:39,0,162,204,"BS",0.279,1.485,15.491,2.485,56.66893,56.66918,-165.2266,-165.20243,73,75,44,15,11.8,3.3,20,0.023004135,"15"
"F-06",202101,10,-20836,"Y",274,2021-08-19 11:05:21,0,94,225,"BS",0.521,2.725,16.446,2.234,56.65994,56.65893,-164.62151,-164.57721,72,74,44,15,11.9,3.4,20,0.04481535,"30"
"F-06",202101,10,-20840,"Y",274,2021-08-19 11:09:45,0,162,205,"BS",0.267,1.443,14.783,2.469,56.66979,56.66921,-164.61694,-164.59348,72,74,44,15,11.8,3.4,20,0.021331869,"15"
"H-03",202101,11,-20834,"Y",229,2021-08-18 16:24:47,0,94,223,"BS",0.519,2.777,16.412,2.524,57.33759,57.34051,-166.51684,-166.47115,68,71,44,15,11.7,3.7,20,0.045576124,"30"
"H-03",202101,11,-20830,"Y",229,2021-08-18 16:26:49,0,162,203,"BS",0.266,1.449,16.063,2.437,57.33039,57.33276,-166.50232,-166.47873,68,70,44,15,11.7,3.7,20,0.023275287,"15"
"I-03",202101,12,-20831,"N",229,2021-08-18 08:12:58,0,94,220,"BS",0.526,2.777,17.525,2.446,57.67506,57.67558,-166.48772,-166.53413,64,66,44,15,11.4,3.3,20,0.048666925,"30"
"I-03",202101,12,-20827,"Y",229,2021-08-18 08:15:33,0,162,200,"BS",0.283,1.601,16.839,1.808,57.66972,57.66934,-166.48407,-166.51082,65,67,44,15,11.4,3.2,20,0.026959239,"15"
"M-01",202101,13,-20821,"Y",137,2021-08-17 13:14:42,0,94,218,"BS",0.513,2.729,15.167,2.479,59.02408,58.99992,-167.88075,-167.87225,39,41,44,15,8.4,8.2,20,0.041390743,"30"
"M-01",202101,13,-20825,"Y",137,2021-08-17 13:19:31,0,162,198,"BS",0.267,1.463,16.131,2.302,59.0213,59.00835,-167.89047,-167.88595,40,42,44,15,8.4,8.2,20,0.023599653,"15"
"M-02",202101,14,-20822,"Y",137,2021-08-17 15:54:39,0,94,219,"BS",0.516,2.928,14.912,2.363,58.99597,58.99661,-167.27331,-167.22252,38,40,44,15,9,8.7,20,0.043662336,"30"
"M-02",202101,14,-20826,"Y",137,2021-08-17 15:58:13,0,162,199,"BS",0.275,1.542,15.719,1.881,59.00263,59.00371,-167.25151,-167.22485,38,40,44,15,8.9,8.8,20,0.024238698,"15"
"N-01",202101,15,-20820,"Y",137,2021-08-17 10:39:36,5.41,94,217,"BS",0.334,1.841,13.853,2.47,59.33636,59.32242,-167.91509,-167.93255,36,38,44,15,8.5,8.3,20,0.025503373,"15"
"N-01",202101,15,-20824,"Y",137,2021-08-17 10:36:03,0,162,197,"BS",0.525,2.891,15.243,3.173,59.33101,59.3096,-167.90629,-167.93507,38,41,44,15,8.5,8.3,20,0.044067513,"30"
"N-02",202101,16,-20819,"Y",137,2021-08-17 08:11:07,0,94,216,"BS",0.283,1.571,14.563,2.261,59.3287,59.3283,-167.22894,-167.25644,29,31,44,15,9.2,9.2,20,0.022878473,"15"
"N-02",202101,16,-20823,"Y",137,2021-08-17 08:09:09,0,162,196,"BS",0.532,3.009,15.266,4.207,59.32315,59.32296,-167.23111,-167.28381,30,34,44,15,9.2,9.3,20,0.045935394,"30"
"H-10",202201,17,-21064,"Y",183,2022-06-05 10:10:35,0,94,26,"BS",0.278,1.47,15.785,2.549,57.31948,57.33269,-162.16549,-162.16648,48,51,44,15,7,4,20,0.02320395,"15"
"H-10",202201,17,-21060,"Y",183,2022-06-05 10:14:04,0,162,23,"BS",0.509,2.79,15.261,2.074,57.32939,57.3545,-162.153,-162.15299,49,51,44,15,7.4,4,3,0.04257819,"30"
"I-10",202201,18,-21065,"Y",183,2022-06-05 13:07:59,0,94,27,"BS",0.279,1.503,15.888,2.153,57.66125,57.67466,-162.14642,-162.14973,45,48,44,15,8.2,3.8,20,0.023879664,"15"
"I-10",202201,18,-21061,"Y",183,2022-06-05 13:13:06,0,162,24,"BS",0.516,2.904,15.462,1.905,57.66587,57.692,-162.13297,-162.1329,46,48,44,15,8.7,3.8,3,0.044901648,"30"
"J-08",202201,19,-21102,"Y",183,2022-06-09 13:10:34,0,94,41,"BS",0.28,1.518,16.08,1.934,57.99933,57.98582,-163.39018,-163.39395,41,43,44,15,8.5,3.5,20,0.02440944,"15"
"J-08",202201,19,-21106,"Y",183,2022-06-09 13:06:51,0,162,36,"BS",0.514,2.904,15.775,2.332,58.00156,57.97543,-163.37697,-163.37726,41,43,44,15,8,3.6,3,0.0458106,"30"
"H-08",202201,20,-21114,"Y",183,2022-06-10 07:19:23,0,94,43,"BS",0.281,1.505,16.662,2.007,57.35056,57.3373,-163.37757,-163.37252,51,53,44,15,7.7,1.9,20,0.02507631,"15"
"H-08",202201,20,-21110,"Y",183,2022-06-10 07:19:25,0,162,38,"BS",0.498,2.803,16.006,2.24,57.34505,57.32021,-163.39516,-163.38711,51,53,44,15,7.4,2,3,0.044864818,"30"
"H-09",202201,21,-21059,"Y",183,2022-06-05 07:26:47,0,162,22,"BS",0.266,1.501,15.835,1.855,57.33562,57.3338,-162.76278,-162.73814,47,49,44,15,6.2,3.4,20,0.023768335,"15"
"H-09",202201,21,-21063,"Y",183,2022-06-05 07:26:53,0,94,25,"BS",0.518,2.837,15.656,2.531,57.3325,57.33231,-162.75388,-162.70689,47,50,44,15,6.2,3.4,3,0.044416072,"30"
"I-09",202201,22,-21062,"Y",183,2022-06-05 16:10:34,0,162,25,"BS",0.281,1.633,15.43,2.04,57.67016,57.67023,-162.71775,-162.74505,42,44,44,15,7.8,3.8,20,0.02519719,"15"
"I-09",202201,22,-21066,"Y",183,2022-06-05 16:08:18,0,94,28,"BS",0.538,2.972,15.618,2.437,57.66554,57.66308,-162.72852,-162.77798,42,44,44,15,6.6,3.9,3,0.046416696,"30"
"I-08",202201,23,-21107,"Y",183,2022-06-09 15:37:04,0,162,37,"BS",0.266,1.54,15.788,1.952,57.69959,57.68572,-163.37464,-163.37437,44,46,44,15,7.5,3,20,0.02431352,"15"
"I-08",202201,23,-21103,"Y",183,2022-06-09 15:37:21,0,94,42,"BS",0.534,2.881,15.963,1.969,57.69167,57.66577,-163.38976,-163.39184,44,48,44,15,7.2,2.8,3,0.045989403,"30"
"G-08",202201,24,-21111,"Y",229,2022-06-10 10:03:16,0,162,39,"BS",0.259,1.486,16.788,2.077,57.02998,57.01669,-163.39886,-163.39619,63,65,44,15,7.8,2,20,0.024946968,"15"
"G-08",202201,24,-21115,"Y",229,2022-06-10 09:59:57,0,94,44,"BS",0.537,3.014,17.268,1.932,57.02731,57.00021,-163.41498,-163.41266,63,67,44,15,7.9,2.1,3,0.052045752,"30"
